2025-06-13 10:00:00 - 11:00:00
"objid","name_prefix","name","ra","declination","redshift","typeid","type","reporting_groupid","reporting_group","source_groupid","source_group","discoverydate","discoverymag","discmagfilter","filter","reporters","time_received","internal_names","Discovery_ADS_bibcode","Class_ADS_bibcodes","creationdate","lastmodified"
"181487","AT","2025nld","307.108797991","-28.942219187","","","","4","Pan-STARRS","4","Pan-STARRS","2025-05-26 13:53:17.088","20.45","26","w","K. C. Chambers, T. de Boer, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, P. Minguez, G. Paek, A. Schultz, I. A. Smith, R. J. Wainscoat (IfA, University of Hawaii), S. J. Smartt, K. W. Smith (University of Oxford / Queen's University Belfast), S. Srivastav (University of Oxford), D. R. Young, M. Fulton, M. Nicholl, T. Moore, J. Weston, C. R. Angus (Queen's University Belfast)","2025-06-13 10:57:51","PS25dhk","","","2025-06-13 10:57:53","2025-06-13 10:57:53"
"178977","AT","2025juq","332.124261651","6.98860020548","","","","18","ATLAS","18","ATLAS","2025-05-06 03:42:31.392","18.872","71","cyan","J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa, J. Tweddle (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)","2025-05-06 12:21:01","ATLAS25ete, GOTO25clt, PS25dez","2025TNSTR1683....1T","","2025-05-06 12:21:07","2025-06-13 10:56:47"
"178330","SN","2025ixm","308.707047322","-10.2068678244","0.09","3","SN Ia","48","ZTF","48","ZTF","2025-05-01 10:32:55.003","19.3721","111","r","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-05-01 19:33:43","ZTF25aapenxt, ATLAS25epg, GOTO25ckk, , PS25dhj","2025TNSTR1616....1S","2025TNSCR1812....1O","2025-05-01 19:33:45","2025-06-13 10:56:04"
"179435","AT","2025klj","224.937098448","17.9748884965","","","","74","ALeRCE","48","ZTF","2025-05-15 06:33:43.998","19.5066","110","g","A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, S. Jurado, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, F. Andrades, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker","2025-05-15 16:05:15","ZTF25aaqfrqs, GOTO25cqi, ATLAS25fcf, , PS25dhi","2025TNSTR1789....1M","","2025-05-15 16:05:19","2025-06-13 10:55:22"
"181416","AT","2025nik","314.492054423","-11.7947383669","","","","114","DESIRT","114","DESIRT","2025-05-23 08:38:50.784","21.7192","21","g","Xander J. Hall (Carnegie Mellon U.), Lei Hu (Carnegie Mellon U.), Antonella Palmese (Carnegie Mellon U.), Brendan O'Connor (Carnegie Mellon U.), Yuhan Chen (UC Berkeley), Aidan Catalano (Carnegie Mellon U.), Xingzhuo Chen (Texas A&M U.), Lifan Wang (Texas A&M U.), Tomás Cabrera (Carnegie Mellon U.), Keerthi Kunnumkai (Carnegie Mellon U.) on behalf of the DECam DESI Transients Survey team","2025-06-12 22:07:20","T202505232057581m114741, PS25dhh","2025TNSTR2189....1H","","2025-06-12 22:08:03","2025-06-13 10:54:34"
"177751","AT","2025icl","272.833830815","45.3590742403","","","","74","ALeRCE","48","ZTF","2025-04-22 11:13:18.998","20.3581","111","r","A. Munoz-Arancibia, G. Pignata, F.E. Bauer, F. Forster, A. Mourao, S. Jurado, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker","2025-04-22 20:45:52","ZTF25aanzxtx, PS25dhg","2025TNSTR1481....1M","","2025-04-22 20:45:59","2025-06-13 10:53:55"
"181486","AT","2025nlc","297.246361039","-31.1614775061","","","","4","Pan-STARRS","4","Pan-STARRS","2025-05-30 12:33:27.936","19.61","26","w","K. C. Chambers, T. de Boer, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, P. Minguez, G. Paek, A. Schultz, I. A. Smith, R. J. Wainscoat (IfA, University of Hawaii), S. J. Smartt, K. W. Smith (University of Oxford / Queen's University Belfast), S. Srivastav (University of Oxford), D. R. Young, M. Fulton, M. Nicholl, T. Moore, J. Weston, C. R. Angus (Queen's University Belfast)","2025-06-13 10:53:12","PS25dhf","","","2025-06-13 10:53:14","2025-06-13 10:53:14"
"180167","AT","2025lng","217.023399283","-3.24949227311","","","","114","DESIRT","114","DESIRT","2025-05-20 06:16:45.696","20.9385","22","r","Xander J. Hall (Carnegie Mellon U.), Tomás Ahumada (Caltech), Lei Hu (Carnegie Mellon U.), Antonella Palmese (Carnegie Mellon U.), Brendan O'Connor (Carnegie Mellon U.), Tomás Cabrera (Carnegie Mellon U.), Keerthi Kunnumkai (Carnegie Mellon U.) on behalf of 2DTS/ZTF","2025-05-23 21:13:36","T202505201428056m031458, ZTF25aaqswno, PS25dhe","2025TNSTR1913....1H","","2025-05-23 21:14:10","2025-06-13 10:52:28"
"180030","AT","2025lhz","266.64225563","39.0979505514","","","","74","ALeRCE","48","ZTF","2025-05-22 08:41:27.004","20.0568","110","g","A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, S. Jurado, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, F. Andrades, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker","2025-05-22 20:24:50","ZTF25aarfcln, PS25dhd","2025TNSTR1888....1M","","2025-05-22 20:25:04","2025-06-13 10:51:34"
"178765","AT","2025jod","241.226858412","-14.9899123424","","","","48","ZTF","48","ZTF","2025-05-01 08:33:18.999","20.1171","110","g","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-05-03 12:09:08","ZTF25aapcoms, GOTO25cgw, ATLAS25etd, PS25dhc","2025TNSTR1646....1S","","2025-05-03 12:09:09","2025-06-13 10:50:52"
